# Urban Hata Model Propagation Results
# Current Date and Time (UTC - YYYY-MM-DD HH:MM:SS formatted): 2025-06-01 14:33:38
Parameters:
- Frequency: 970.00 MHz
- Base station height: 50.00 m
- Mobile station height: 1.50 m
- Transmitter power: 43.00 dBm

Distance(m)	PathLoss(dB)	FieldStrength(dB)	E-field(V/m)
4.636015	45.386737	134.567693	5.350380e+00
4.713282	45.629171	134.325260	5.203110e+00
4.790549	45.867662	134.086769	5.062190e+00
4.867816	46.102337	133.852094	4.927251e+00
4.945083	46.333316	133.621114	4.797950e+00
5.022350	46.560714	133.393716	4.673969e+00
5.099617	46.784640	133.169790	4.555012e+00
5.176883	47.005199	132.949231	4.440804e+00
5.254150	47.222490	132.731940	4.331088e+00
5.331417	47.436609	132.517821	4.225626e+00
5.408684	47.647647	132.306783	4.124195e+00
5.485951	47.855692	132.098739	4.026586e+00
5.563218	48.060826	131.893604	3.932604e+00
5.640485	48.263131	131.691299	3.842067e+00
5.717752	48.462684	131.491747	3.754805e+00
5.795019	48.659558	131.294873	3.670656e+00
5.872286	48.853824	131.100607	3.589470e+00
5.949553	49.045550	130.908880	3.511106e+00
6.026820	49.234803	130.719627	3.435432e+00
6.104086	49.421645	130.532785	3.362322e+00
6.181353	49.606137	130.348294	3.291658e+00
6.258620	49.788336	130.166094	3.223330e+00
6.335887	49.968300	129.986130	3.157232e+00
6.413154	50.146083	129.808348	3.093267e+00
6.490421	50.321736	129.632694	3.031340e+00
6.567688	50.495311	129.459120	2.971365e+00
6.644955	50.666855	129.287575	2.913257e+00
6.722222	50.836416	129.118014	2.856937e+00
6.799489	51.004040	128.950391	2.802332e+00
6.876756	51.169769	128.784661	2.749369e+00
6.954023	51.333647	128.620784	2.697983e+00
7.031289	51.495713	128.458717	2.648109e+00
7.108556	51.656009	128.298422	2.599687e+00
7.185823	51.814571	128.139859	2.552660e+00
7.263090	51.971438	127.982993	2.506973e+00
7.340357	52.126644	127.827786	2.462574e+00
7.417624	52.280225	127.674205	2.419414e+00
7.494891	52.432215	127.522215	2.377447e+00
7.572158	52.582646	127.371784	2.336626e+00
7.649425	52.731550	127.222881	2.296910e+00
7.726692	52.878957	127.075474	2.258259e+00
7.803959	53.024897	126.929533	2.220632e+00
7.881226	53.169400	126.785031	2.183994e+00
7.958492	53.312492	126.641938	2.148310e+00
8.035759	53.454203	126.500228	2.113545e+00
8.113026	53.594557	126.359874	2.079666e+00
8.190293	53.733580	126.220850	2.046645e+00
8.267560	53.871298	126.083132	2.014451e+00
8.344827	54.007736	125.946695	1.983055e+00
8.422094	54.142915	125.811515	1.952431e+00
8.499361	54.276860	125.677570	1.922554e+00
8.576628	54.409593	125.544837	1.893398e+00
8.653895	54.541135	125.413295	1.864940e+00
8.731162	54.671509	125.282922	1.837156e+00
8.808429	54.800733	125.153697	1.810026e+00
8.885695	54.928829	125.025601	1.783529e+00
8.962962	55.055816	124.898615	1.757643e+00
9.040229	55.181713	124.772718	1.732351e+00
9.117496	55.306538	124.647893	1.707633e+00
9.194763	55.430310	124.524121	1.683473e+00
9.272030	55.553046	124.401385	1.659851e+00
9.349297	55.674763	124.279667	1.636754e+00
9.426564	55.795479	124.158951	1.614164e+00
9.503831	55.915210	124.039221	1.592066e+00
9.581098	56.033970	123.920460	1.570446e+00
9.658365	56.151777	123.802653	1.549290e+00
9.735632	56.268646	123.685785	1.528584e+00
9.812898	56.384590	123.569841	1.508315e+00
9.890165	56.499625	123.454806	1.488471e+00
9.967432	56.613765	123.340666	1.469039e+00
10.044699	56.727023	123.227408	1.450008e+00
10.121966	56.839413	123.115017	1.431367e+00
10.199233	56.950949	123.003481	1.413104e+00
10.276500	57.061643	122.892787	1.395209e+00
10.353767	57.171508	122.782923	1.377673e+00
10.431034	57.280556	122.673875	1.360485e+00
10.508301	57.388799	122.565631	1.343636e+00
10.585568	57.496249	122.458181	1.327117e+00
10.662835	57.602918	122.351512	1.310918e+00
10.740101	57.708816	122.245614	1.295033e+00
10.817368	57.813956	122.140475	1.279451e+00
10.894635	57.918347	122.036083	1.264166e+00
10.971902	58.022000	121.932430	1.249170e+00
11.049169	58.124926	121.829504	1.234455e+00
11.126436	58.227135	121.727296	1.220014e+00
11.203703	58.328636	121.625794	1.205840e+00
11.280970	58.429440	121.524991	1.191927e+00
11.358237	58.529556	121.424875	1.178267e+00
11.435504	58.628992	121.325438	1.164855e+00
11.512771	58.727760	121.226671	1.151685e+00
11.590038	58.825866	121.128564	1.138750e+00
11.667304	58.923321	121.031109	1.126044e+00
11.744571	59.020132	120.934298	1.113563e+00
11.821838	59.116309	120.838121	1.101301e+00
11.899105	59.211859	120.742571	1.089252e+00
11.976372	59.306791	120.647640	1.077412e+00
12.053639	59.401112	120.553319	1.065776e+00
12.130906	59.494830	120.459600	1.054338e+00
12.208173	59.587954	120.366477	1.043095e+00
12.285440	59.680490	120.273941	1.032041e+00
12.362707	59.772445	120.181985	1.021173e+00
12.439974	59.863828	120.090602	1.010486e+00
12.517241	59.954645	119.999786	9.999753e-01
12.594507	60.044903	119.909528	9.896380e-01
12.671774	60.134609	119.819822	9.794699e-01
12.749041	60.223770	119.730661	9.694670e-01
12.826308	60.312391	119.642039	9.596259e-01
12.903575	60.400481	119.553949	9.499428e-01
12.980842	60.488045	119.466386	9.404144e-01
13.058109	60.575089	119.379342	9.310373e-01
13.135376	60.661619	119.292811	9.218082e-01
13.212643	60.747642	119.206788	9.127238e-01
13.289910	60.833164	119.121267	9.037813e-01
13.367177	60.918190	119.036241	8.949774e-01
13.444444	61.002725	118.951705	8.863092e-01
13.521710	61.086776	118.867654	8.777740e-01
13.598977	61.170348	118.784082	8.693689e-01
13.676244	61.253447	118.700983	8.610912e-01
13.753511	61.336078	118.618353	8.529383e-01
13.830778	61.418245	118.536185	8.449077e-01
13.908045	61.499955	118.454475	8.369967e-01
13.985312	61.581212	118.373218	8.292031e-01
14.062579	61.662022	118.292409	8.215243e-01
14.139846	61.742389	118.212042	8.139582e-01
14.217113	61.822317	118.132113	8.065024e-01
14.294380	61.901813	118.052618	7.991547e-01
14.371647	61.980880	117.973551	7.919131e-01
14.448913	62.059523	117.894908	7.847754e-01
14.526180	62.137746	117.816684	7.777396e-01
14.603447	62.215555	117.738876	7.708037e-01
14.680714	62.292953	117.661478	7.639657e-01
14.757981	62.369945	117.584486	7.572239e-01
14.835248	62.446534	117.507896	7.505762e-01
14.912515	62.522726	117.431704	7.440211e-01
14.989782	62.598524	117.355906	7.375565e-01
15.067049	62.673932	117.280498	7.311810e-01
15.144316	62.748955	117.205476	7.248928e-01
15.221583	62.823596	117.130835	7.186902e-01
15.298850	62.897859	117.056572	7.125717e-01
15.376116	62.971747	116.982683	7.065358e-01
15.453383	63.045266	116.909165	7.005808e-01
15.530650	63.118417	116.836013	6.947054e-01
15.607917	63.191206	116.763225	6.889080e-01
15.685184	63.263635	116.690795	6.831873e-01
15.762451	63.335708	116.618722	6.775418e-01
15.839718	63.407429	116.547001	6.719703e-01
15.916985	63.478801	116.475629	6.664713e-01
15.994252	63.549827	116.404603	6.610437e-01
16.071519	63.620511	116.333919	6.556861e-01
16.148786	63.690856	116.263574	6.503973e-01
16.226053	63.760865	116.193565	6.451761e-01
16.303319	63.830542	116.123889	6.400213e-01
16.380586	63.899889	116.054542	6.349318e-01
16.457853	63.968910	115.985521	6.299064e-01
16.535120	64.037607	115.916823	6.249441e-01
16.612387	64.105984	115.848446	6.200437e-01
16.689654	64.174044	115.780386	6.152042e-01
16.766921	64.241790	115.712641	6.104246e-01
16.844188	64.309224	115.645207	6.057038e-01
16.921455	64.376349	115.578081	6.010409e-01
16.998722	64.443169	115.511262	5.964349e-01
17.075989	64.509685	115.444745	5.918849e-01
17.153256	64.575902	115.378529	5.873898e-01
17.230522	64.641820	115.312610	5.829489e-01
17.307789	64.707444	115.246986	5.785612e-01
17.385056	64.772776	115.181655	5.742259e-01
17.462323	64.837817	115.116613	5.699420e-01
17.539590	64.902572	115.051859	5.657088e-01
17.616857	64.967042	114.987389	5.615254e-01
17.694124	65.031230	114.923201	5.573911e-01
17.771391	65.095138	114.859293	5.533051e-01
17.848658	65.158769	114.795662	5.492665e-01
17.925925	65.222124	114.732306	5.452746e-01
18.003192	65.285208	114.669223	5.413288e-01
18.080459	65.348021	114.606409	5.374282e-01
18.157725	65.410567	114.543864	5.335722e-01
18.234992	65.472847	114.481584	5.297600e-01
18.312259	65.534863	114.419567	5.259911e-01
18.389526	65.596618	114.357812	5.222646e-01
18.466793	65.658115	114.296316	5.185800e-01
18.544060	65.719355	114.235076	5.149366e-01
18.621327	65.780340	114.174091	5.113338e-01
18.698594	65.841072	114.113358	5.077710e-01
18.775861	65.901554	114.052876	5.042476e-01
18.853128	65.961788	113.992643	5.007629e-01
18.930395	66.021775	113.932655	4.973164e-01
19.007662	66.081518	113.872912	4.939075e-01
19.084928	66.141019	113.813412	4.905357e-01
19.162195	66.200279	113.754151	4.872003e-01
19.239462	66.259301	113.695130	4.839010e-01
19.316729	66.318086	113.636344	4.806370e-01
19.393996	66.376637	113.577794	4.774080e-01
19.471263	66.434954	113.519476	4.742134e-01
19.548530	66.493041	113.461390	4.710527e-01
19.625797	66.550899	113.403532	4.679254e-01
19.703064	66.608529	113.345902	4.648310e-01
19.780331	66.665934	113.288497	4.617691e-01
19.857598	66.723114	113.231316	4.587391e-01
19.934865	66.780073	113.174357	4.557407e-01
20.012131	66.836812	113.117619	4.527734e-01
20.089398	66.893332	113.061099	4.498368e-01
20.166665	66.949634	113.004796	4.469303e-01
20.243932	67.005722	112.948708	4.440536e-01
20.321199	67.061596	112.892834	4.412063e-01
20.398466	67.117258	112.837173	4.383880e-01
20.475733	67.172709	112.781721	4.355982e-01
20.553000	67.227952	112.726479	4.328366e-01
20.630267	67.282987	112.671443	4.301027e-01
20.707534	67.337817	112.616614	4.273962e-01
20.784801	67.392442	112.561988	4.247168e-01
20.862068	67.446865	112.507566	4.220640e-01
20.939334	67.501086	112.453344	4.194375e-01
21.016601	67.555108	112.399323	4.168369e-01
21.093868	67.608931	112.345499	4.142619e-01
21.171135	67.662558	112.291873	4.117121e-01
21.248402	67.715989	112.238441	4.091872e-01
21.325669	67.769227	112.185204	4.066869e-01
21.402936	67.822271	112.132159	4.042108e-01
21.480203	67.875125	112.079305	4.017587e-01
21.557470	67.927789	112.026641	3.993301e-01
21.634737	67.980265	111.974166	3.969249e-01
21.712004	68.032553	111.921877	3.945426e-01
21.789271	68.084656	111.869775	3.921830e-01
21.866537	68.136574	111.817857	3.898458e-01
21.943804	68.188309	111.766121	3.875307e-01
22.021071	68.239862	111.714568	3.852374e-01
22.098338	68.291235	111.663196	3.829656e-01
22.175605	68.342428	111.612002	3.807151e-01
22.252872	68.393444	111.560987	3.784856e-01
22.330139	68.444282	111.510148	3.762768e-01
22.407406	68.494945	111.459486	3.740884e-01
22.484673	68.545433	111.408997	3.719203e-01
22.561940	68.595749	111.358682	3.697721e-01
22.639207	68.645892	111.308539	3.676435e-01
22.716474	68.695864	111.258566	3.655344e-01
22.793740	68.745667	111.208764	3.634446e-01
22.871007	68.795301	111.159129	3.613736e-01
22.948274	68.844768	111.109663	3.593214e-01
23.025541	68.894068	111.060362	3.572877e-01
23.102808	68.943204	111.011227	3.552723e-01
23.180075	68.992175	110.962255	3.532749e-01
23.257342	69.040983	110.913447	3.512953e-01
23.334609	69.089630	110.864801	3.493333e-01
23.411876	69.138115	110.816315	3.473888e-01
23.489143	69.186441	110.767989	3.454613e-01
23.566410	69.234608	110.719822	3.435509e-01
23.643677	69.282618	110.671813	3.416572e-01
23.720943	69.330471	110.623960	3.397801e-01
23.798210	69.378168	110.576263	3.379194e-01
23.875477	69.425710	110.528720	3.360748e-01
23.952744	69.473099	110.481331	3.342463e-01
24.030011	69.520336	110.434095	3.324335e-01
24.107278	69.567421	110.387010	3.306363e-01
24.184545	69.614355	110.340076	3.288545e-01
24.261812	69.661139	110.293291	3.270880e-01
24.339079	69.707775	110.246656	3.253365e-01
24.416346	69.754262	110.200168	3.235999e-01
24.493613	69.800603	110.153827	3.218780e-01
24.570880	69.846798	110.107632	3.201707e-01
24.648147	69.892848	110.061582	3.184778e-01
24.725413	69.938754	110.015677	3.167990e-01
24.802680	69.984516	109.969914	3.151343e-01
24.879947	70.030137	109.924294	3.134835e-01
24.957214	70.075615	109.878815	3.118464e-01
25.034481	70.120954	109.833477	3.102229e-01
25.111748	70.166152	109.788278	3.086128e-01
25.189015	70.211212	109.743219	3.070160e-01
25.266282	70.256133	109.698297	3.054322e-01
25.343549	70.300918	109.653513	3.038615e-01
25.420816	70.345566	109.608865	3.023035e-01
25.498083	70.390078	109.564352	3.007583e-01
25.575350	70.434456	109.519974	2.992256e-01
25.652616	70.478700	109.475730	2.977053e-01
25.729883	70.522811	109.431619	2.961972e-01
25.807150	70.566790	109.387641	2.947013e-01
25.884417	70.610637	109.343793	2.932174e-01
25.961684	70.654354	109.300077	2.917453e-01
26.038951	70.697940	109.256490	2.902849e-01
26.116218	70.741398	109.213033	2.888362e-01
26.193485	70.784727	109.169704	2.873990e-01
26.270752	70.827928	109.126502	2.859731e-01
26.348019	70.871003	109.083428	2.845584e-01
26.425286	70.913951	109.040479	2.831548e-01
26.502553	70.956774	108.997656	2.817623e-01
26.579819	70.999473	108.954958	2.803806e-01
26.657086	71.042047	108.912383	2.790096e-01
26.734353	71.084498	108.869932	2.776493e-01
26.811620	71.126827	108.827604	2.762995e-01
26.888887	71.169034	108.785397	2.749602e-01
26.966154	71.211120	108.743311	2.736312e-01
27.043421	71.253085	108.701345	2.723123e-01
27.120688	71.294931	108.659500	2.710036e-01
27.197955	71.336657	108.617773	2.697048e-01
27.275222	71.378265	108.576165	2.684159e-01
27.352489	71.419756	108.534675	2.671368e-01
27.429756	71.461129	108.493301	2.658674e-01
27.507022	71.502386	108.452044	2.646075e-01
27.584289	71.543528	108.410903	2.633572e-01
27.661556	71.584554	108.369876	2.621162e-01
27.738823	71.625466	108.328965	2.608845e-01
27.816090	71.666264	108.288167	2.596620e-01
27.893357	71.706949	108.247482	2.584485e-01
27.970624	71.747521	108.206909	2.572441e-01
28.047891	71.787982	108.166449	2.560486e-01
28.125158	71.828331	108.126100	2.548619e-01
28.202425	71.868569	108.085861	2.536840e-01
28.279692	71.908697	108.045733	2.525147e-01
28.356959	71.948716	108.005714	2.513540e-01
28.434225	71.988626	107.965804	2.502017e-01
28.511492	72.028428	107.926003	2.490578e-01
28.588759	72.068121	107.886309	2.479222e-01
28.666026	72.107708	107.846722	2.467949e-01
28.743293	72.147188	107.807242	2.456756e-01
28.820560	72.186563	107.767868	2.445645e-01
28.897827	72.225831	107.728599	2.434613e-01
28.975094	72.264995	107.689435	2.423660e-01
29.052361	72.304055	107.650375	2.412786e-01
29.129628	72.343011	107.611420	2.401989e-01
29.206895	72.381864	107.572567	2.391269e-01
29.284162	72.420614	107.533817	2.380624e-01
29.361428	72.459262	107.495169	2.370055e-01
29.438695	72.497808	107.456623	2.359561e-01
29.515962	72.536253	107.418177	2.349140e-01
29.593229	72.574598	107.379832	2.338792e-01
29.670496	72.612843	107.341588	2.328517e-01
29.747763	72.650988	107.303442	2.318313e-01
29.825030	72.689035	107.265396	2.308181e-01
29.902297	72.726983	107.227448	2.298118e-01
29.979564	72.764833	107.189598	2.288126e-01
30.056831	72.802585	107.151845	2.278202e-01
30.134098	72.840241	107.114189	2.268347e-01
30.211365	72.877800	107.076630	2.258559e-01
30.288631	72.915264	107.039167	2.248839e-01
30.365898	72.952631	107.001799	2.239185e-01
30.443165	72.989904	106.964526	2.229597e-01
30.520432	73.027083	106.927348	2.220074e-01
30.597699	73.064167	106.890263	2.210615e-01
30.674966	73.101158	106.853272	2.201221e-01
30.752233	73.138056	106.816375	2.191890e-01
30.829500	73.174861	106.779569	2.182622e-01
30.906767	73.211574	106.742856	2.173416e-01
30.984034	73.248196	106.706235	2.164271e-01
31.061301	73.284726	106.669704	2.155188e-01
31.138568	73.321165	106.633265	2.146166e-01
31.215834	73.357515	106.596916	2.137203e-01
31.293101	73.393774	106.560657	2.128300e-01
31.370368	73.429944	106.524487	2.119456e-01
31.447635	73.466025	106.488406	2.110670e-01
31.524902	73.502017	106.452413	2.101942e-01
31.602169	73.537921	106.416509	2.093271e-01
31.679436	73.573738	106.380692	2.084657e-01
31.756703	73.609467	106.344963	2.076099e-01
31.833970	73.645110	106.309321	2.067598e-01
31.911237	73.680666	106.273765	2.059151e-01
31.988504	73.716136	106.238294	2.050759e-01
32.065771	73.751521	106.202910	2.042422e-01
32.143037	73.786820	106.167611	2.034139e-01
32.220304	73.822035	106.132396	2.025908e-01
32.297571	73.857165	106.097266	2.017731e-01
32.374838	73.892211	106.062219	2.009606e-01
32.452105	73.927174	106.027257	2.001533e-01
32.529372	73.962054	105.992377	1.993512e-01
32.606639	73.996850	105.957580	1.985542e-01
32.683906	74.031565	105.922865	1.977622e-01
32.761173	74.066198	105.888233	1.969752e-01
32.838440	74.100749	105.853682	1.961933e-01
32.915707	74.135218	105.819212	1.954162e-01
32.992974	74.169607	105.784823	1.946441e-01
33.070240	74.203916	105.750515	1.938768e-01
33.147507	74.238144	105.716286	1.931142e-01
33.224774	74.272293	105.682137	1.923565e-01
33.302041	74.306362	105.648068	1.916035e-01
33.379308	74.340353	105.614078	1.908551e-01
33.456575	74.374265	105.580166	1.901115e-01
33.533842	74.408098	105.546332	1.893724e-01
33.611109	74.441854	105.512576	1.886378e-01
33.688376	74.475533	105.478898	1.879078e-01
33.765643	74.509134	105.445297	1.871823e-01
33.842910	74.542658	105.411773	1.864613e-01
33.920177	74.576106	105.378325	1.857446e-01
33.997443	74.609478	105.344953	1.850323e-01
34.074710	74.642774	105.311657	1.843244e-01
34.151977	74.675994	105.278436	1.836208e-01
34.229244	74.709140	105.245291	1.829214e-01
34.306511	74.742210	105.212220	1.822263e-01
34.383778	74.775207	105.179224	1.815353e-01
34.461045	74.808129	105.146301	1.808486e-01
34.538312	74.840978	105.113453	1.801659e-01
34.615579	74.873753	105.080678	1.794874e-01
34.692846	74.906455	105.047975	1.788129e-01
34.770113	74.939084	105.015346	1.781424e-01
34.847380	74.971641	104.982789	1.774759e-01
34.924646	75.004126	104.950304	1.768134e-01
35.001913	75.036539	104.917891	1.761548e-01
35.079180	75.068881	104.885550	1.755002e-01
35.156447	75.101151	104.853279	1.748493e-01
35.233714	75.133351	104.821080	1.742023e-01
35.310981	75.165480	104.788951	1.735592e-01
35.388248	75.197538	104.756892	1.729198e-01
35.465515	75.229527	104.724903	1.722841e-01
35.542782	75.261446	104.692984	1.716521e-01
35.620049	75.293296	104.661134	1.710239e-01
35.697316	75.325077	104.629353	1.703992e-01
35.774583	75.356789	104.597641	1.697783e-01
35.851849	75.388433	104.565997	1.691609e-01
35.929116	75.420009	104.534422	1.685470e-01
36.006383	75.451517	104.502914	1.679367e-01
36.083650	75.482957	104.471474	1.673299e-01
36.160917	75.514330	104.440101	1.667267e-01
36.238184	75.545636	104.408794	1.661268e-01
36.315451	75.576875	104.377555	1.655304e-01
36.392718	75.608048	104.346382	1.649374e-01
36.469985	75.639155	104.315275	1.643477e-01
36.547252	75.670196	104.284234	1.637615e-01
36.624519	75.701172	104.253259	1.631785e-01
36.701786	75.732082	104.222349	1.625988e-01
36.779052	75.762927	104.191503	1.620224e-01
36.856319	75.793708	104.160723	1.614493e-01
36.933586	75.824424	104.130007	1.608794e-01
37.010853	75.855075	104.099355	1.603126e-01
37.088120	75.885663	104.068767	1.597491e-01
37.165387	75.916187	104.038243	1.591887e-01
37.242654	75.946648	104.007782	1.586314e-01
37.319921	75.977046	103.977384	1.580772e-01
37.397188	76.007381	103.947050	1.575261e-01
37.474455	76.037653	103.916777	1.569780e-01
37.551722	76.067863	103.886568	1.564330e-01
37.628989	76.098011	103.856420	1.558910e-01
37.706255	76.128097	103.826334	1.553519e-01
37.783522	76.158121	103.796310	1.548159e-01
37.860789	76.188084	103.766347	1.542827e-01
37.938056	76.217986	103.736445	1.537525e-01
38.015323	76.247827	103.706604	1.532252e-01
38.092590	76.277607	103.676823	1.527007e-01
38.169857	76.307328	103.647103	1.521791e-01
38.247124	76.336988	103.617443	1.516604e-01
38.324391	76.366588	103.587843	1.511444e-01
38.401658	76.396128	103.558302	1.506313e-01
38.478925	76.425610	103.528821	1.501209e-01
38.556192	76.455032	103.499399	1.496132e-01
38.633458	76.484395	103.470036	1.491083e-01
38.710725	76.513699	103.440731	1.486061e-01
38.787992	76.542945	103.411485	1.481065e-01
38.865259	76.572133	103.382297	1.476097e-01
38.942526	76.601263	103.353168	1.471155e-01
39.019793	76.630335	103.324095	1.466239e-01
39.097060	76.659350	103.295081	1.461349e-01
39.174327	76.688307	103.266123	1.456486e-01
39.251594	76.717207	103.237223	1.451647e-01
39.328861	76.746051	103.208380	1.446835e-01
39.406128	76.774838	103.179593	1.442048e-01
39.483395	76.803568	103.150863	1.437286e-01
39.560661	76.832242	103.122188	1.432549e-01
39.637928	76.860861	103.093570	1.427837e-01
39.715195	76.889423	103.065007	1.423149e-01
39.792462	76.917930	103.036500	1.418486e-01
39.869729	76.946382	103.008048	1.413847e-01
39.946996	76.974779	102.979652	1.409232e-01
40.024263	77.003120	102.951310	1.404642e-01
40.101530	77.031408	102.923023	1.400074e-01
40.178797	77.059640	102.894790	1.395531e-01
40.256064	77.087819	102.866612	1.391011e-01
40.333331	77.115943	102.838487	1.386514e-01
40.410598	77.144014	102.810417	1.382041e-01
40.487864	77.172031	102.782400	1.377590e-01
40.565131	77.199994	102.754436	1.373162e-01
40.642398	77.227905	102.726526	1.368757e-01
40.719665	77.255762	102.698668	1.364374e-01
40.796932	77.283567	102.670864	1.360013e-01
40.874199	77.311318	102.643112	1.355675e-01
40.951466	77.339018	102.615412	1.351359e-01
41.028733	77.366665	102.587765	1.347064e-01
41.106000	77.394261	102.560170	1.342791e-01
41.183267	77.421804	102.532626	1.338540e-01
41.260534	77.449296	102.505135	1.334310e-01
41.337801	77.476736	102.477694	1.330101e-01
41.415067	77.504125	102.450305	1.325914e-01
41.492334	77.531463	102.422967	1.321747e-01
41.569601	77.558751	102.395680	1.317601e-01
41.646868	77.585987	102.368443	1.313476e-01
41.724135	77.613173	102.341257	1.309371e-01
41.801402	77.640309	102.314121	1.305287e-01
41.878669	77.667395	102.287036	1.301223e-01
41.955936	77.694430	102.260000	1.297179e-01
42.033203	77.721416	102.233014	1.293155e-01
42.110470	77.748353	102.206078	1.289151e-01
42.187737	77.775240	102.179191	1.285167e-01
42.265004	77.802078	102.152353	1.281202e-01
42.342270	77.828867	102.125564	1.277257e-01
42.419537	77.855607	102.098824	1.273331e-01
42.496804	77.882298	102.072132	1.269424e-01
42.574071	77.908941	102.045490	1.265536e-01
42.651338	77.935535	102.018895	1.261667e-01
42.728605	77.962082	101.992349	1.257817e-01
42.805872	77.988580	101.965850	1.253985e-01
42.883139	78.015031	101.939400	1.250173e-01
42.960406	78.041434	101.912997	1.246378e-01
43.037673	78.067789	101.886641	1.242602e-01
43.114940	78.094098	101.860333	1.238844e-01
43.192207	78.120359	101.834071	1.235104e-01
43.269473	78.146573	101.807857	1.231382e-01
43.346740	78.172741	101.781690	1.227678e-01
43.424007	78.198862	101.755569	1.223992e-01
43.501274	78.224936	101.729494	1.220323e-01
43.578541	78.250964	101.703466	1.216671e-01
43.655808	78.276946	101.677484	1.213037e-01
43.733075	78.302883	101.651548	1.209421e-01
43.810342	78.328773	101.625658	1.205821e-01
43.887609	78.354618	101.599813	1.202239e-01
43.964876	78.380417	101.574014	1.198673e-01
44.042143	78.406171	101.548260	1.195124e-01
44.119410	78.431880	101.522551	1.191592e-01
44.196676	78.457544	101.496887	1.188076e-01
44.273943	78.483163	101.471268	1.184577e-01
44.351210	78.508737	101.445694	1.181095e-01
44.428477	78.534267	101.420164	1.177628e-01
44.505744	78.559752	101.394678	1.174178e-01
44.583011	78.585193	101.369237	1.170744e-01
44.660278	78.610591	101.343840	1.167326e-01
44.737545	78.635944	101.318486	1.163923e-01
44.814812	78.661254	101.293177	1.160537e-01
44.892079	78.686520	101.267911	1.157166e-01
44.969346	78.711742	101.242688	1.153810e-01
45.046613	78.736921	101.217509	1.150470e-01
45.123879	78.762057	101.192373	1.147146e-01
45.201146	78.787150	101.167280	1.143837e-01
45.278413	78.812201	101.142230	1.140543e-01
45.355680	78.837208	101.117222	1.137264e-01
45.432947	78.862173	101.092258	1.134000e-01
45.510214	78.887095	101.067335	1.130750e-01
45.587481	78.911976	101.042455	1.127516e-01
45.664748	78.936814	101.017617	1.124296e-01
45.742015	78.961610	100.992821	1.121091e-01
45.819282	78.986364	100.968066	1.117901e-01
45.896549	79.011077	100.943354	1.114725e-01
