% MoM Electric Field Results - Generated: 2025-06-01 13:19:19
% Distance(m)	Field_dB	Magnitude(V/m)	Real(V/m)	Imag(V/m)	Phase(deg)
3.245211	22.366409	9.258169e+01	3.006526e+01	-8.756397e+01	-71.050
3.322477	22.408242	9.303343e+01	2.263390e+01	-9.023816e+01	-75.919
3.399744	22.538828	9.444765e+01	1.356107e+01	-9.346901e+01	-81.745
3.477011	22.594435	9.505935e+01	2.583434e+00	-9.502424e+01	-88.443
3.554278	22.507029	9.411273e+01	-8.379185e+00	-9.373897e+01	-95.108
3.631545	22.384712	9.280191e+01	-1.782531e+01	-9.107388e+01	-101.074
3.708812	22.381441	9.277228e+01	-2.661757e+01	-8.887183e+01	-106.673
3.786079	22.490814	9.395336e+01	-3.650229e+01	-8.657261e+01	-112.862
3.863346	22.560844	9.471958e+01	-4.735468e+01	-8.203251e+01	-119.996
3.940613	22.503442	9.410140e+01	-5.718125e+01	-7.473539e+01	-127.420
4.017880	22.394017	9.292912e+01	-6.487449e+01	-6.653662e+01	-134.275
4.095147	22.368499	9.266237e+01	-7.160043e+01	-5.881915e+01	-140.597
4.172414	22.447166	9.351144e+01	-7.872703e+01	-5.046231e+01	-147.341
4.249680	22.516135	9.426309e+01	-8.546662e+01	-3.976164e+01	-155.051
4.326947	22.483710	9.391814e+01	-8.987459e+01	-2.726123e+01	-163.126
4.404214	22.386249	9.287652e+01	-9.165021e+01	-1.504289e+01	-170.679
4.481481	22.342765	9.241912e+01	-9.234702e+01	-3.649908e+00	-177.737
4.558748	22.402362	9.306198e+01	-9.267964e+01	8.427087e+00	174.805
4.636015	22.473988	9.383927e+01	-9.124139e+01	2.192753e+01	166.487
4.713282	22.450078	9.358812e+01	-8.668825e+01	3.526873e+01	157.861
4.790549	22.350485	9.252801e+01	-7.984349e+01	4.675948e+01	149.645
4.867816	22.302401	9.202411e+01	-7.231452e+01	5.691263e+01	141.797
4.945083	22.361615	9.266068e+01	-6.392683e+01	6.707728e+01	133.622
5.022350	22.426908	9.336708e+01	-5.320726e+01	7.672288e+01	124.741
5.099617	22.391096	9.299023e+01	-4.007853e+01	8.391004e+01	115.531
5.176883	22.293027	9.195356e+01	-2.626576e+01	8.812245e+01	106.597
5.254150	22.258159	9.159259e+01	-1.277846e+01	9.069682e+01	98.020
5.331417	22.314138	9.219237e+01	1.270349e+00	9.218361e+01	89.210
5.408684	22.356823	9.265426e+01	1.656282e+01	9.116187e+01	79.702
5.485951	22.311509	9.217994e+01	3.181893e+01	8.651415e+01	69.807
5.563218	22.228701	9.131313e+01	4.535889e+01	7.925061e+01	60.215
5.640485	22.202034	9.104112e+01	5.726233e+01	7.077790e+01	51.026
5.717752	22.239979	9.144777e+01	6.845204e+01	6.063837e+01	41.536
5.795019	22.265324	9.172318e+01	7.838712e+01	4.762985e+01	31.284
5.872286	22.225353	9.131030e+01	8.539214e+01	3.233811e+01	20.742
5.949553	22.150883	9.053907e+01	8.899076e+01	1.667235e+01	10.611
6.026820	22.115005	9.017422e+01	9.016588e+01	1.226421e+00	0.779
6.104086	22.140000	9.044257e+01	8.920108e+01	-1.493409e+01	-9.504
6.181353	22.165322	9.071524e+01	8.498620e+01	-3.172696e+01	-20.472
6.258620	22.125833	9.031243e+01	7.696820e+01	-4.724650e+01	-31.543
6.335887	22.040877	8.944211e+01	6.622153e+01	-6.012154e+01	-42.236
6.413154	21.997506	8.900537e+01	5.378105e+01	-7.091936e+01	-52.825
6.490421	22.026756	8.931451e+01	3.931356e+01	-8.019679e+01	-63.885
6.567688	22.050977	8.957294e+01	2.250744e+01	-8.669906e+01	-75.447
6.644955	21.994487	8.900136e+01	4.580085e+00	-8.888343e+01	-87.050
6.722222	21.896873	8.801581e+01	-1.288756e+01	-8.706718e+01	-98.420
6.799489	21.860732	8.765948e+01	-2.966659e+01	-8.248683e+01	-109.781
6.876756	21.897022	8.803577e+01	-4.600632e+01	-7.505807e+01	-121.506
6.954023	21.905644	8.813258e+01	-6.080433e+01	-6.379801e+01	-133.624
7.031289	21.825902	8.733658e+01	-7.227701e+01	-4.902767e+01	-145.850
7.108556	21.726516	8.635234e+01	-8.003749e+01	-3.241491e+01	-157.952
7.185823	21.704399	8.614222e+01	-8.483690e+01	-1.493925e+01	-170.013
7.263090	21.737752	8.648323e+01	-8.641182e+01	3.513856e+00	177.671
7.340357	21.720738	8.632368e+01	-8.336517e+01	2.240594e+01	164.956
7.417624	21.623024	8.536769e+01	-7.539765e+01	4.003545e+01	152.032
7.494891	21.531102	8.447869e+01	-6.396347e+01	5.518445e+01	139.214
7.572158	21.518756	8.436845e+01	-5.021571e+01	6.779689e+01	126.527
7.649425	21.538619	8.457148e+01	-3.389207e+01	7.748331e+01	113.625
7.726692	21.496456	8.417187e+01	-1.499380e+01	8.282566e+01	100.261
7.803959	21.388020	8.313748e+01	4.881837e+00	8.299403e+01	86.634
7.881226	21.301056	8.231914e+01	2.387887e+01	7.877970e+01	73.137
7.958492	21.290049	8.222487e+01	4.134053e+01	7.107664e+01	59.816
8.035759	21.298838	8.231819e+01	5.687419e+01	5.951143e+01	46.298
8.113026	21.239585	8.176864e+01	6.910101e+01	4.371682e+01	32.320
8.190293	21.114859	8.061292e+01	7.664555e+01	2.497802e+01	18.050
8.267560	21.017244	7.972206e+01	7.954258e+01	5.346401e+00	3.845
8.344827	21.005314	7.962274e+01	7.836180e+01	-1.411415e+01	-10.210
8.422094	21.019271	7.976099e+01	7.265126e+01	-3.291823e+01	-24.375
8.499361	20.957824	7.920895e+01	6.166945e+01	-4.970852e+01	-38.870
8.576628	20.810106	7.788340e+01	4.617910e+01	-6.271614e+01	-53.635
8.653895	20.671593	7.666132e+01	2.810129e+01	-7.132514e+01	-68.496
8.731162	20.628789	7.629456e+01	8.721999e+00	-7.579437e+01	-83.436
8.808429	20.653852	7.652524e+01	-1.134827e+01	-7.567912e+01	-98.528
8.885695	20.640493	7.641793e+01	-3.069655e+01	-6.998158e+01	-113.684
8.962962	20.525682	7.542471e+01	-4.717870e+01	-5.884775e+01	-128.719
9.040229	20.350288	7.392706e+01	-5.958839e+01	-4.375424e+01	-143.711
9.117496	20.202650	7.269113e+01	-6.790398e+01	-2.594321e+01	-159.090
9.194763	20.120347	7.201561e+01	-7.176252e+01	-6.032396e+00	-175.195
9.272030	20.073364	7.163716e+01	-7.012469e+01	1.464274e+01	168.206
9.349297	20.030225	7.129232e+01	-6.280753e+01	3.373142e+01	151.762
9.426564	19.997654	7.103559e+01	-5.103634e+01	4.940999e+01	135.928
9.503831	19.982633	7.092302e+01	-3.603446e+01	6.108676e+01	120.536
9.581098	19.943153	7.061159e+01	-1.832547e+01	6.819218e+01	105.042
9.658365	19.812446	6.956710e+01	1.035406e+00	6.955939e+01	89.147
9.735632	19.569208	6.765590e+01	1.980996e+01	6.469069e+01	72.974
9.812898	19.265321	6.533945e+01	3.593288e+01	5.457171e+01	56.637
9.890165	18.978372	6.322556e+01	4.852430e+01	4.053226e+01	39.872
9.967432	18.736145	6.149594e+01	5.691054e+01	2.330108e+01	22.266
10.044699	17.901252	5.587012e+01	5.577618e+01	3.238527e+00	3.323
10.121966	16.421152	4.712614e+01	4.501320e+01	-1.395296e+01	-17.222
10.199233	14.700800	3.866624e+01	2.998373e+01	-2.441422e+01	-39.154
10.276500	12.798084	3.106592e+01	1.421742e+01	-2.762167e+01	-62.764
10.353767	10.761211	2.457702e+01	3.835675e-01	-2.457402e+01	-89.106
10.431034	8.628568	1.923030e+01	-9.601404e+00	-1.666185e+01	-119.953
10.508301	6.553305	1.514650e+01	-1.395408e+01	-5.890687e+00	-157.113
10.585568	5.027770	1.270941e+01	-1.186560e+01	4.553736e+00	159.004
10.662835	4.730302	1.228407e+01	-4.718033e+00	1.134189e+01	112.586
10.740101	5.560020	1.351820e+01	4.524151e+00	1.273867e+01	70.447
10.817368	6.862585	1.570863e+01	1.300103e+01	8.816705e+00	34.143
10.894635	8.253233	1.844005e+01	1.843257e+01	5.252832e-01	1.632
10.971902	9.533570	2.137327e+01	1.869562e+01	-1.035812e+01	-28.988
11.049169	10.595827	2.415885e+01	1.253742e+01	-2.065098e+01	-58.738
11.126436	11.430020	2.659982e+01	1.039652e+00	-2.657950e+01	-87.760
11.203703	12.078978	2.866949e+01	-1.251067e+01	-2.579579e+01	-115.873
11.280970	12.614407	3.049896e+01	-2.442365e+01	-1.826668e+01	-143.207
11.358237	13.101087	3.226362e+01	-3.178790e+01	-5.520035e+00	-170.149
11.435504	13.534963	3.392356e+01	-3.243929e+01	9.924748e+00	162.989
11.512771	13.868220	3.525813e+01	-2.541275e+01	2.444029e+01	136.118
11.590038	14.087020	3.616551e+01	-1.207196e+01	3.409123e+01	109.499
11.667304	14.228031	3.676554e+01	4.113519e+00	3.653469e+01	83.576
11.744571	14.362588	3.734779e+01	1.953605e+01	3.183081e+01	58.461
11.821838	14.567006	3.824568e+01	3.177914e+01	2.127954e+01	33.807
11.899105	14.860281	3.956792e+01	3.906333e+01	6.298934e+00	9.160
11.976372	15.199434	4.115269e+01	3.960357e+01	-1.118488e+01	-15.771
12.053639	15.551562	4.286497e+01	3.233085e+01	-2.814465e+01	-41.040
12.130906	15.918582	4.472514e+01	1.779568e+01	-4.103233e+01	-66.554
12.208173	16.301812	4.675326e+01	-1.924527e+00	-4.671363e+01	-92.359
12.285440	16.684778	4.887190e+01	-2.345021e+01	-4.287832e+01	-118.674
12.362707	17.031481	5.087376e+01	-4.194475e+01	-2.878849e+01	-145.537
12.439974	17.297746	5.246950e+01	-5.204406e+01	-6.668157e+00	-172.699
12.517241	17.475191	5.356480e+01	-5.039132e+01	1.816321e+01	160.179
12.594507	17.609329	5.441104e+01	-3.737816e+01	3.954028e+01	133.390
12.671774	17.759586	5.537337e+01	-1.617675e+01	5.295774e+01	106.986
12.749041	17.961777	5.669072e+01	9.202319e+00	5.593885e+01	80.658
12.826308	18.214199	5.837608e+01	3.428291e+01	4.724879e+01	54.036
12.903575	18.478143	6.019139e+01	5.363321e+01	2.732182e+01	26.995
12.980842	18.713076	6.185626e+01	6.185477e+01	-4.291886e-01	-0.398
13.058109	18.911893	6.330348e+01	5.589760e+01	-2.971176e+01	-27.992
13.135376	19.085939	6.460012e+01	3.646169e+01	-5.332655e+01	-55.638
13.212643	19.242466	6.579055e+01	7.665319e+00	-6.534247e+01	-83.309
13.289910	19.388573	6.692264e+01	-2.403650e+01	-6.245708e+01	-111.049
13.367177	19.529826	6.803624e+01	-5.121081e+01	-4.479267e+01	-138.825
13.444444	19.669658	6.915713e+01	-6.727608e+01	-1.601990e+01	-166.606
13.521710	19.820453	7.038532e+01	-6.815533e+01	1.757681e+01	165.539
13.598977	19.990682	7.179584e+01	-5.293983e+01	4.849760e+01	137.508
13.676244	20.164178	7.326225e+01	-2.410039e+01	6.918474e+01	109.206
13.753511	20.315272	7.456611e+01	1.217105e+01	7.356610e+01	80.606
13.830778	20.431417	7.558849e+01	4.669706e+01	5.943909e+01	51.846
13.908045	20.517312	7.635856e+01	7.022017e+01	2.999596e+01	23.131
13.985312	20.597481	7.708571e+01	7.673404e+01	-7.354749e+00	-5.475
14.062579	20.702794	7.804545e+01	6.464540e+01	-4.372716e+01	-34.075
14.139846	20.837797	7.928777e+01	3.617966e+01	-7.055198e+01	-62.851
14.217113	20.976960	8.058851e+01	-2.750265e+00	-8.054157e+01	-91.956
14.294380	21.092634	8.168946e+01	-4.252871e+01	-6.974580e+01	-121.373
14.371647	21.172599	8.246579e+01	-7.206363e+01	-4.009290e+01	-150.910
14.448913	21.225863	8.299405e+01	-8.299209e+01	5.700548e-01	179.606
14.526180	21.280885	8.354268e+01	-7.249007e+01	4.152792e+01	150.193
14.603447	21.360417	8.433263e+01	-4.310628e+01	7.248339e+01	120.740
14.680714	21.458498	8.531212e+01	-1.624528e+00	8.529665e+01	91.091
14.757981	21.552780	8.626532e+01	4.162986e+01	7.555568e+01	61.146
14.835248	21.626049	8.701848e+01	7.461004e+01	4.478346e+01	30.974
14.912515	21.672772	8.751042e+01	8.750323e+01	1.121662e+00	0.734
14.989782	21.704199	8.785038e+01	7.646629e+01	-4.325039e+01	-29.493
15.067049	21.742614	8.826271e+01	4.448559e+01	-7.623214e+01	-59.734
15.144316	21.796432	8.883444e+01	-9.826740e-02	-8.883439e+01	-90.063
15.221583	21.854419	8.945288e+01	-4.551578e+01	-7.700735e+01	-120.586
15.298850	21.904943	8.999834e+01	-7.897033e+01	-4.316697e+01	-151.338
15.376116	21.940926	9.039573e+01	-9.032727e+01	3.517304e+00	177.770
15.453383	21.959478	9.061293e+01	-7.583983e+01	4.958854e+01	146.821
15.530650	21.971758	9.076516e+01	-3.952115e+01	8.170920e+01	115.812
15.607917	21.990738	9.098789e+01	8.349892e+00	9.060395e+01	84.735
15.685184	22.012294	9.123828e+01	5.420398e+01	7.339177e+01	53.552
15.762451	22.029701	9.144575e+01	8.467186e+01	3.453985e+01	22.192
15.839718	22.042951	9.160990e+01	9.039905e+01	-1.484541e+01	-9.326
15.916985	22.046258	9.166943e+01	6.925693e+01	-6.005632e+01	-40.930
15.994252	22.038390	9.161114e+01	2.734179e+01	-8.743585e+01	-72.635
16.071519	22.030198	9.154953e+01	-2.284591e+01	-8.865315e+01	-104.451
16.148786	22.021776	9.148562e+01	-6.618988e+01	-6.315473e+01	-136.344
16.226053	22.005472	9.133890e+01	-8.945895e+01	-1.843612e+01	-168.355
16.303319	21.986163	9.116095e+01	-8.537993e+01	3.194662e+01	159.486
16.380586	21.965797	9.097234e+01	-5.504748e+01	7.242749e+01	127.236
16.457853	21.936893	9.069500e+01	-7.733081e+00	9.036472e+01	94.891
16.535120	21.902967	9.036631e+01	4.187334e+01	8.007930e+01	62.395
16.612387	21.868300	9.003120e+01	7.813911e+01	4.472021e+01	29.783
16.689654	21.823820	8.959613e+01	8.948045e+01	-4.551418e+00	-2.912
16.766921	21.768949	8.905662e+01	7.229718e+01	-5.200192e+01	-35.727
16.844188	21.714335	8.852305e+01	3.223765e+01	-8.244431e+01	-68.643
16.921455	21.659232	8.798779e+01	-1.773410e+01	-8.618209e+01	-101.628
16.998722	21.597975	8.739388e+01	-6.151663e+01	-6.207572e+01	-134.741
17.075989	21.533380	8.677071e+01	-8.488339e+01	-1.799906e+01	-168.028
17.153256	21.463460	8.609924e+01	-8.014528e+01	3.146131e+01	158.567
17.230522	21.378733	8.528751e+01	-4.902387e+01	6.978983e+01	125.086
17.307789	21.282503	8.437169e+01	-2.215994e+00	8.434259e+01	91.505
17.385056	21.188928	8.349130e+01	4.444554e+01	7.067808e+01	57.836
17.462323	21.098061	8.264590e+01	7.543982e+01	3.375170e+01	24.104
17.539590	20.999439	8.173612e+01	8.055032e+01	-1.387223e+01	-9.772
17.616857	20.894137	8.077426e+01	5.824582e+01	-5.596344e+01	-43.855
17.694124	20.782578	7.976631e+01	1.650980e+01	-7.803903e+01	-78.055
17.771391	20.652331	7.860170e+01	-2.981335e+01	-7.272820e+01	-112.290
17.848658	20.506815	7.731810e+01	-6.456150e+01	-4.254294e+01	-146.617
17.925925	20.367753	7.611206e+01	-7.609936e+01	1.390587e+00	178.953
18.003192	20.235390	7.498269e+01	-6.101681e+01	4.358155e+01	144.463
18.080459	20.091379	7.377113e+01	-2.502993e+01	6.939512e+01	109.834
18.157725	19.932815	7.245771e+01	1.878698e+01	6.997978e+01	74.973
18.234992	19.765312	7.109451e+01	5.448666e+01	4.566873e+01	39.969
18.312259	19.583153	6.963941e+01	6.937855e+01	6.021944e+00	4.961
18.389526	19.382134	6.806618e+01	5.890944e+01	-3.409813e+01	-30.063
18.466793	19.176745	6.649508e+01	2.787123e+01	-6.037210e+01	-65.219
18.544060	18.983998	6.505490e+01	-1.189635e+01	-6.395793e+01	-100.537
18.621327	18.791349	6.364668e+01	-4.574885e+01	-4.424864e+01	-135.955
18.698594	18.568413	6.205223e+01	-6.137145e+01	-9.166478e+00	-171.505
18.775861	18.312911	6.027137e+01	-5.357569e+01	2.760948e+01	152.736
18.853128	18.048652	5.848267e+01	-2.642548e+01	5.217200e+01	116.863
18.930395	17.784801	5.674976e+01	8.838066e+00	5.605732e+01	81.040
19.007662	17.510939	5.500480e+01	3.872385e+01	3.906395e+01	45.251
19.084928	17.218796	5.320144e+01	5.250298e+01	8.592492e+00	9.294
19.162195	16.912732	5.137484e+01	4.577941e+01	-2.331567e+01	-26.990
19.239462	16.600621	4.957646e+01	2.209882e+01	-4.437868e+01	-63.529
19.316729	16.270444	4.774166e+01	-8.347783e+00	-4.700617e+01	-100.070
19.393996	15.897434	4.574863e+01	-3.318557e+01	-3.149056e+01	-136.501
19.471263	15.480373	4.361707e+01	-4.328705e+01	-5.355407e+00	-172.947
19.548530	15.043561	4.149040e+01	-3.607531e+01	2.049453e+01	150.399
19.625797	14.611823	3.949051e+01	-1.569751e+01	3.623657e+01	113.422
19.703064	14.189350	3.762716e+01	8.978349e+00	3.654028e+01	76.195
19.780331	13.743670	3.575609e+01	2.781406e+01	2.246945e+01	38.933
19.857598	13.227909	3.370504e+01	3.368915e+01	1.034609e+00	1.759
19.934865	12.621033	3.144012e+01	2.564496e+01	-1.818838e+01	-35.346
20.012131	12.005598	2.929849e+01	8.817499e+00	-2.794017e+01	-72.485
20.089398	11.773639	2.853496e+01	-9.649894e+00	-2.685374e+01	-109.766
20.166665	11.579325	2.791205e+01	-2.354358e+01	-1.499274e+01	-147.511
20.243932	11.427209	2.743572e+01	-2.730160e+01	2.709576e+00	174.332
20.321199	11.300577	2.704678e+01	-1.943737e+01	1.880737e+01	135.944
20.398466	11.184409	2.669551e+01	-3.544921e+00	2.645910e+01	97.631
20.475733	11.063140	2.633335e+01	1.329915e+01	2.272835e+01	59.667
20.553000	10.934776	2.595491e+01	2.404899e+01	9.762355e+00	22.094
20.630267	10.804669	2.557679e+01	2.468373e+01	-6.699690e+00	-15.185
20.707534	10.655814	2.514986e+01	1.535547e+01	-1.991796e+01	-52.370
20.784801	10.460530	2.459823e+01	1.347976e-01	-2.459786e+01	-89.686
20.862068	10.192281	2.385746e+01	-1.441300e+01	-1.901167e+01	-127.166
20.939334	9.825375	2.287767e+01	-2.206893e+01	-6.029109e+00	-164.720
21.016601	9.361823	2.169539e+01	-2.007525e+01	8.226457e+00	157.717
21.093868	8.824028	2.039911e+01	-1.026250e+01	1.762966e+01	120.204
21.171135	8.220029	1.903466e+01	2.440666e+00	1.887754e+01	82.633
21.248402	7.546385	1.761964e+01	1.252067e+01	1.239696e+01	44.716
21.325669	6.771332	1.612051e+01	1.602384e+01	1.762834e+00	6.278
21.402936	5.822530	1.445684e+01	1.215537e+01	-7.826057e+00	-32.775
21.480203	4.635123	1.261357e+01	3.796642e+00	-1.202862e+01	-72.483
21.557470	3.141568	1.062418e+01	-4.101605e+00	-9.800511e+00	-112.710
21.634737	1.232402	8.530461e+00	-7.642720e+00	-3.789142e+00	-153.628
21.712004	-1.241787	6.417986e+00	-6.165461e+00	1.782592e+00	163.874
21.789271	-4.637513	4.342586e+00	-1.997112e+00	3.856112e+00	117.380
21.866537	-9.606371	2.451556e+00	1.366303e+00	2.035520e+00	56.129
21.943804	-11.638847	1.940682e+00	1.315353e+00	-1.426918e+00	-47.330
22.021071	-6.129325	3.660727e+00	-2.163885e+00	-2.952714e+00	-126.236
22.098338	-1.806584	6.023396e+00	-6.021894e+00	-1.345030e-01	-178.720
22.175605	1.175054	8.492989e+00	-6.058891e+00	5.951530e+00	135.512
22.252872	3.361307	1.092725e+01	-3.844855e-01	1.092048e+01	92.016
22.330139	5.060528	1.329259e+01	8.572101e+00	1.015933e+01	49.843
22.407406	6.425521	1.555956e+01	1.538628e+01	2.315646e+00	8.559
22.484673	7.581164	1.777942e+01	1.503990e+01	-9.482049e+00	-32.230
22.561940	8.599467	1.999730e+01	5.957388e+00	-1.908930e+01	-72.668
22.639207	9.498536	2.218521e+01	-8.662254e+00	-2.042422e+01	-112.983
22.716474	10.303878	2.434836e+01	-2.175505e+01	-1.093437e+01	-153.315
22.793740	11.025080	2.646483e+01	-2.572636e+01	6.208186e+00	166.433
22.871007	11.668054	2.850738e+01	-1.686078e+01	2.298662e+01	126.260
22.948274	12.267381	3.055367e+01	2.046775e+00	3.048504e+01	86.159
23.025541	12.841800	3.265310e+01	2.262382e+01	2.354544e+01	46.144
23.102808	13.397284	3.482080e+01	3.462792e+01	3.660020e+00	6.034
23.180075	13.942704	3.708944e+01	3.064201e+01	-2.089723e+01	-34.293
23.257342	14.459092	3.937408e+01	1.029623e+01	-3.800402e+01	-74.841
23.334609	14.929123	4.157698e+01	-1.799690e+01	-3.748009e+01	-115.649
23.411876	15.355292	4.368201e+01	-4.009176e+01	-1.734269e+01	-156.608
23.489143	15.733325	4.564001e+01	-4.350862e+01	1.378444e+01	162.421
23.566410	16.075612	4.748995e+01	-2.476950e+01	4.051873e+01	121.438
23.643677	16.404322	4.933773e+01	8.155673e+00	4.865898e+01	80.485
23.720943	16.720875	5.118574e+01	3.947785e+01	3.258035e+01	39.532
23.798210	17.031163	5.306470e+01	5.304545e+01	-1.429248e+00	-1.543
23.875477	17.336634	5.498217e+01	4.038349e+01	-3.731236e+01	-42.736
23.952744	17.622535	5.684075e+01	5.885403e+00	-5.653523e+01	-84.057
24.030011	17.891092	5.864496e+01	-3.407978e+01	-4.772630e+01	-125.529
24.107278	18.145175	6.040573e+01	-5.887398e+01	-1.351693e+01	-167.070
24.184545	18.379765	6.207992e+01	-5.446127e+01	2.979742e+01	151.316
24.261812	18.605347	6.373441e+01	-2.136898e+01	6.004533e+01	109.590
24.339079	18.822222	6.536748e+01	2.470308e+01	6.051996e+01	67.796
24.416346	19.022454	6.691408e+01	6.019852e+01	2.921699e+01	25.889
24.493613	19.212637	6.841811e+01	6.572315e+01	-1.901329e+01	-16.135
24.570880	19.389641	6.984992e+01	3.680184e+01	-5.936865e+01	-58.206
24.648147	19.551772	7.118972e+01	-1.279520e+01	-7.003042e+01	-100.354
24.725413	19.711522	7.253538e+01	-5.760514e+01	-4.407981e+01	-142.577
24.802680	19.866824	7.386867e+01	-7.360404e+01	6.247064e+00	175.149
24.879947	20.015756	7.517136e+01	-5.101650e+01	5.520914e+01	132.740
24.957214	20.162565	7.647836e+01	-2.590632e-01	7.647793e+01	90.194
25.034481	20.295933	7.768782e+01	5.244340e+01	5.731568e+01	47.542
25.111748	20.412661	7.876539e+01	7.849421e+01	6.530363e+00	4.756
25.189015	20.519081	7.976325e+01	6.276928e+01	-4.921577e+01	-38.099
25.266282	20.611965	8.064799e+01	1.264332e+01	-7.965077e+01	-80.980
25.343549	20.698815	8.148597e+01	-4.548743e+01	-6.760812e+01	-123.933
25.420816	20.788757	8.236201e+01	-8.023311e+01	-1.860510e+01	-166.945
25.498083	20.875492	8.321678e+01	-7.203558e+01	4.166421e+01	149.956
25.575350	20.958705	8.404637e+01	-2.414797e+01	8.050259e+01	106.697
25.652616	21.036834	8.483460e+01	3.810017e+01	7.579766e+01	63.313
25.729883	21.098915	8.547219e+01	8.040685e+01	2.898679e+01	19.824
25.807150	21.147277	8.597872e+01	7.868327e+01	-3.465954e+01	-23.773
25.884417	21.187865	8.641091e+01	3.319017e+01	-7.978257e+01	-67.412
25.961684	21.219081	8.675166e+01	-3.120876e+01	-8.094358e+01	-111.085
26.038951	21.248756	8.707834e+01	-7.881897e+01	-3.701632e+01	-154.844
26.116218	21.281867	8.744088e+01	-8.283450e+01	2.800630e+01	161.320
26.193485	21.309419	8.774879e+01	-4.035100e+01	7.792077e+01	117.377
26.270752	21.330551	8.799275e+01	2.532118e+01	8.427077e+01	73.276
26.348019	21.345300	8.817262e+01	7.706566e+01	4.284034e+01	29.069
26.425286	21.343745	8.818721e+01	8.509709e+01	-2.314019e+01	-15.212
26.502553	21.331033	8.808861e+01	4.458284e+01	-7.597351e+01	-59.595
26.579819	21.316001	8.796667e+01	-2.130243e+01	-8.534836e+01	-104.014
26.657086	21.292633	8.776067e+01	-7.480667e+01	-4.589006e+01	-148.473
26.734353	21.267346	8.753584e+01	-8.527338e+01	1.977306e+01	166.945
26.811620	21.245626	8.734750e+01	-4.664338e+01	7.385107e+01	122.276
26.888887	21.212807	8.704829e+01	1.882053e+01	8.498936e+01	77.514
26.966154	21.170429	8.665473e+01	7.301167e+01	4.667267e+01	32.589
27.043421	21.123917	8.622194e+01	8.420610e+01	-1.853523e+01	-12.414
